city,country,continent,lat,lng
London,United Kingdom,Europe,51.5073219,-0.1276474
Birmingham,United Kingdom,Europe,52.4796992,-1.9026911
Manchester,United Kingdom,Europe,53.4794892,-2.2451148
Hamburg,Germany,Europe,53.550341,10.000654
Madrid,Spain,Europe,40.4167047,-3.7035825
Amsterdam,Netherlands,Europe,52.3727598,4.8936041
Frankfurt,Germany,Europe,50.1106444,8.6820917
Essen,Germany,Europe,51.4582235,7.0158171
Maastricht,Netherlands,Europe,50.8579855,5.6969882
Valencia,Spain,Europe,39.4697065,-0.3763353
Bremen,Germany,Europe,53.0758196,8.8071646
New York,United States,North America,40.7127281,-74.0060152
Karlsruhe,Germany,Europe,49.0068705,8.4034195
MÃ¼nchen,Germany,Europe,48.1371079,11.5753822
Las Vegas,United States,North America,36.1672559,-115.148516
Dallas,United States,North America,32.7762719,-96.7968559
Stuttgart,Germany,Europe,48.7784485,9.1800132
Chicago,United States,North America,41.8755616,-87.6244212
Hong Kong,Hong Kong SAR,Asia,22.2793278,114.1628131
Basel,Switzerland,Europe,47.5581077,7.5878261
Wien,Austria,Europe,48.2083537,16.3725042
Los Angeles,United States,North America,34.0536909,-118.242766
Berlin,Germany,Europe,52.5170365,13.3888599
Leipzig,Germany,Europe,51.3406321,12.3747329
